Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Name of Product,Featured image,Product Images,Project Info,Order
EPQ Wire,epq-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66e96fb3c0b39dd4cfc6f9ab,false,false,Thu Mar 25 2021 17:17:59 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:41:28 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),EPQ Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac8413ae759018117b51_STAINLES%20STEEL%20WIRES%20303.webp,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcabebf9f4b328f708596f_STAINLESS%20STEEL%20EPQ%20WIRES.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac6e221f89f5c6ec9903_STAINLESS%20STEEL%20WIRES.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac715a1be02044a2aee1_STAINLESS%20STEEL%20WIRE%20QUATER%20HARD.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac753e5f275d7dd59168_201%20STAINLEES%20STEEL%20WIRES.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac78b9c60c2d23be41ce_STAINLESSS%20STEEL%20WIRES%20SUPERHARD.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac7a718c5d52b907a547_STAINLESS%20STEEL%20WIRES%20FOR%20NAILS.jpg,"<figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3006px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3006px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcaf3e52ad4aa4e71fd3e0_66fcaf3a3e5f275d7dd89199_Group%25201171275989.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><p id="""">‍</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcacb441528275fbb6abe0_66fcaca8568f426dd1e68a6d_STAINLESS%2520STEEL%2520WIRES%2520FOR%2520FASTNERS.webp"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><p>‍</p><h4 id="""">Specification</h4><ul id=""""><li id="""">Excellent surface finish</li><li id="""">Suitable for Electro polishing</li><li id="""">Available in ASTM, DIN, BS and JIS Standards</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",1
General Purpose Wire,general-purpose-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb23a70f4685b187d38d2,false,false,Wed Oct 02 2024 02:38:50 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:43:30 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),General Purpose Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb1b160e1eb88495d1372_STAINLESS%20STEEL%20FINE%20WIRES.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcaca8568f426dd1e68a6d_STAINLESS%20STEEL%20WIRES%20FOR%20FASTNERS.webp; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb1b9bb5913cf0e363c8b_STAINLESS%20STEEL%20WIRES%20202.webp; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac715a1be02044a2aee1_STAINLESS%20STEEL%20WIRE%20QUATER%20HARD.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb1b160e1eb88495d1372_STAINLESS%20STEEL%20FINE%20WIRES.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcabebf9f4b328f708596f_STAINLESS%20STEEL%20EPQ%20WIRES.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcac8413ae759018117b51_STAINLES%20STEEL%20WIRES%20303.webp; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb1b957c53c2404e2100f_STAINLEES%20STEEL%20WIRES%20SPRING%20HARD.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb1b9b9c60c2d23c31693_STAINLEE%20STEEL%20WIRES%20316L.jpg,"<figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3288px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3288px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb23a70f4685b187d3898_66fcb22f1ae1da141d93bf08_Group%25201171275990.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><h5 id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank""><br><br>Click Here to View Chemical Composition</a></h5>",2
Cold Heading Wire,cold-heating-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb2f9b66eda9ecd06a891,false,false,Wed Oct 02 2024 02:42:01 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:17 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Cold Heating Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb2e45a37326a2a348296_Coni-press-cavo-riscaldante-senza-muffola-1-1024x1024.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb2e45a37326a2a348296_Coni-press-cavo-riscaldante-senza-muffola-1-1024x1024.jpg,"<figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3242px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3242px""><div><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb384718c5d52b910fc44_66fcb37c8368ea8a3df4897a_Group%25201171275991.png"" loading=""lazy"" alt=""__wf_reserved_inherit""></div></figure><p id="""">‍</p><h4 id="""">Special Characteristics</h4><ul id=""""><li id="""">Excellent in corrosion resistance and mechanical strength and is the most suitable material for bolts, nuts, screw, Philips head screw and other types of fasteners and has marked work hardening characteristics.</li></ul><h4 id="""">Supply Condition</h4><ul id=""""><li id="""">Wires are vicafil coated to ensure smooth heading operations &amp; crackfree heads. Condition: Cold Drawn, Annealed and Skin Pass or as per customer requirement with very fine tolerance.</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",11
Wire For Nails,wire-for-nails,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb47d5cb460c0ff29dd6a,false,false,Wed Oct 02 2024 02:48:29 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:43:53 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Wire For Nails,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb53e37a212dc9ab007ad_wire-nail-1-6-inch.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb53e37a212dc9ab007ad_wire-nail-1-6-inch.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb54470f4685b1880047d_wire-nails%20(1).jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb544bb5913cf0e397d8f_ms-wire-nail.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb3d0f9f4b328f70fd90d_wire-nails.jpg,"<h4 id="""">‍</h4><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3330px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3330px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb43f734b2aeb131e246c_66fcb42205c2347e2ad8b778_Group%25201171275992.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><p>‍</p><h4 id="""">Specification</h4><ul id=""""><li id="""">Superior corrosion resistance under condition of application</li><li id="""">Completely resistant to tannic acid &amp; other extractive common to wood &amp; will not discolor the wood surrounding the nail head</li><li id="""">Strength is adequate for all wood application</li><li id="""">Driving the nail into wood does not split the wood</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",9
Free Cutting Wire,free-cutting-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb6c4b8782e10c4f53728,false,false,Wed Oct 02 2024 02:58:12 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:41:53 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Free Cutting Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb5a66c967857d2022d4d_free-cutting-wire.jpg,,"<figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3500px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3500px""><div><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb62a8368ea8a3df6b017_66fcb5ffa7d21f1ced7fedfb_Group%25201171275993.png"" loading=""lazy"" alt=""__wf_reserved_inherit""></div></figure><h4 id="""">Specification</h4><ul id=""""><li id="""">For Specific work requirements, free-cutting wire of stainless must be selected taking such factors into consideration as fatigue, usage, strength, corrosion resistance, impact resistance etc. Sulphur (S) is added by about 0.15% to 0.35% to improve machinability.</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p>‍</p>",4
Wire For Springs,wire-for-springs,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb91978c0ee5e8bd641f7,false,false,Wed Oct 02 2024 03:08:09 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:42:14 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Wire For Springs,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb88a70f4685b1882ec4b_Spring-Wire%4072dpi.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb88a70f4685b1882ec4b_Spring-Wire%4072dpi.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb88fa7d21f1ced824c94_61HlDwohAPL._AC_UF1000%2C1000_QL80_.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb88f568f426dd1f185e4_spiral-1962819_1280.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb88f8d51f69481f0055f_stainless-steel-spring-wire_f.jpg,"<figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3500px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3500px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb90605c2347e2addff20_66fcb8d2b3edb75e1eb0558f_Group%25201171275994.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><p id="""">‍</p><h4 id="""">Specification</h4><ul id=""""><li id="""">Stainless Steel Wire for spring is made from the selected steel In particular, to provide optimum spring efficiency, this type of wire is painstakingly finished to eliminate flaws which reduce fatigue strength, i.e. lateral and longitudinal cracks, pits and marks. Their mechanical properties are produced as per customer's requirements.</li><li id="""">HIL Spring wires are produced joint free in one continuous length.</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p><p>‍</p>",5
Lashing Wire,lashing-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcb9fd568f426dd1f31593,false,false,Wed Oct 02 2024 03:11:57 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:42:32 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Lashing Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb9f42c3f35c787f9742c_Hardware-Aerial-Pole-Line-Lashing-Products-Lashing-Wire.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb9f82c3f35c787f97769_71530_lashing-wire.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb9f42c3f35c787f9742c_Hardware-Aerial-Pole-Line-Lashing-Products-Lashing-Wire.jpg,"<h4 id="""">‍</h4><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3576px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3576px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcba7305c2347e2adf2db4_66fcba690ecaf4e682c1ce2a_Group%25201171275995.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><h4 id="""">Specification Characteristics</h4><ul id=""""><li id="""">Lashing wire could be ferritic or austentic grades</li><li id="""">High ductility with minimum of 20% elongation</li><li id="""">Wire is packed with plastic ties to provide consistent package tension.</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",6
Wire For Ropes,wire-for-ropes,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcba1660e1eb8849650955,false,false,Wed Oct 02 2024 03:12:22 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:40:41 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Wire For Ropes,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbb39523d2b5392741964_banner-3.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbb3b57165da3063e6c35_steel-wire-rope-teho-ropes.webp; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbb39523d2b5392741964_banner-3.jpg,"<figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3066px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3066px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbb4113ae7590181fe330_66fcbafb221f89f5c6fa27f9_Group%25201171275996.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><h4 id="""">Special Characteristics</h4><ul id=""""><li id="""">Wire for rope are made from selected grades of stainless steel having special chemical compositions and manufactured through the unique process developed by our company.</li><li id="""">HIL Rope Wires are produced joint free in one continuous length.</li></ul><p id=""""> </p><p id="""">‍</p>",2
Fine Wires,fine-wires,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcbc3f3e5f275d7de409b0,false,false,Wed Oct 02 2024 03:21:35 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:40:46 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),Wire For Re-drawing Into Fine Wires,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbbc25f53dd38468b6cb9_A78K8983.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbbc25f53dd38468b6cb9_A78K8983.jpg,"<p id="""">‍</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3066px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3066px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbc000ecaf4e682c356b8_66fcbb9e95527313c6ea4033_Group%25201171275997.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><h4 id="""">Special Characteristics</h4><ul id=""""><li id="""">High Die Life</li><li id="""">Smooth Surface Finish</li><li id="""">High Ductility</li><li id="""">Suitable for drawing upto 0.06mm for high speed machines</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p><p>‍</p>",3
Wire For Building Industry,wire-for-building-industry,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcbced2c3f35c787fc24d0,false,false,Wed Oct 02 2024 03:24:29 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:04:37 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:07:26 GMT+0000 (Coordinated Universal Time),Wire For Building Industry,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744ae016b94f52d0e4b92e9_0591edb5-fda0-4899-891f-65f4c5ff3b52.JPG,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcb9f42c3f35c787f9742c_Hardware-Aerial-Pole-Line-Lashing-Products-Lashing-Wire.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744adfc2e4ee91e68d7c6bf_21ad8ff8-99cc-41ce-acb8-93ab64a5aaa8.JPG; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744adfc1cd18c4f698dbf4d_5225c499-d811-494a-a4ec-e267d1643da1.JPG; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744adfcf06466a0a82c284c_2a0d22c3-bfb9-425d-85a1-1af14a4bc78e.JPG; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744ae016b94f52d0e4b92e9_0591edb5-fda0-4899-891f-65f4c5ff3b52.JPG,"<h4 id="""">‍</h4><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3170px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3170px""><div id=""""><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbced2c3f35c787fc24b1_66fcbce51ae1da141d9e1ecc_Group%25201171275998.png"" loading=""lazy"" alt=""__wf_reserved_inherit"" width=""auto"" height=""auto"" id=""""></div></figure><h4 id=""""><br>Special Characteristics</h4><p id="""">Stainless Steel Wire is used in construction work for tying wall, roof and binding torr-steel structure due to its high corrosion resistance and high strength properties.</p><ul id=""""><li id="""">ROOFING HOOKS</li><li id="""">WALL TIE</li><li id="""">TYING WIRE</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",10
Chain Wire,chain-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcbe555a37326a2a3f1d45,false,false,Wed Oct 02 2024 03:30:29 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:05:14 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:07:26 GMT+0000 (Coordinated Universal Time),Chain Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbd7f221f89f5c6fc907b_chain-link-1000-galvanized-spring-crimped-tension-wire-9-gauge-steel.webp,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbd81b9c60c2d23cdc5a9_chain-link-fencing.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbd7f221f89f5c6fc907b_chain-link-1000-galvanized-spring-crimped-tension-wire-9-gauge-steel.webp,"<figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3362px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3362px""><div><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbe555a37326a2a3f1ce0_66fcbdee5a37326a2a3ec4cc_Group%25201171275999.png"" loading=""lazy"" alt=""__wf_reserved_inherit""></div></figure>",7
Wire For Conveyor Belt,wire-for-conveyor-belt-weaving,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcbf7857165da3064271fe,false,false,Wed Oct 02 2024 03:35:20 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:23 GMT+0000 (Coordinated Universal Time),Sun Nov 17 2024 04:44:50 GMT+0000 (Coordinated Universal Time),"Wire For Conveyor Belt, Weaving",https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbeb25ed17ac19d017f0a_compound-balanced-weave-wire-mesh-conveyor-belts.jpg,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbeb25ed17ac19d017f0a_compound-balanced-weave-wire-mesh-conveyor-belts.jpg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbeb4bb5913cf0e430c3f_balanced-belt-9.jpg,"<figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3362px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3362px""><div><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcbf041cf4be73e7e47973_66fcbef85a37326a2a3fa460_Group%25201171276000.png"" loading=""lazy"" alt=""__wf_reserved_inherit""></div></figure><h4 id="""">Special Characteristics</h4><ul id=""""><li id="""">Weaving Wires are supplied in bright annealed condition.</li><li id="""">Weaving Wires have beautiful lustrous surfaces and have high resistance to corrosion which combine to account for their profit and yielding market values.</li><li id="""">Weaving Wires are available in full range of sizes from extra-large to extra-fine diameters.</li><li id="""">Weaving Wires are suitable for various applications in chemicals, petrochemicals, synthetic, fiber, paper and pulp industries, conveyor belts operating in high temperature environment etc.</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p id="""">‍</p>",12
Electrode Quality Wire,electrode-quality-wire,66e96fb3c0b39dd4cfc6f958,66e96fb3c0b39dd4cfc6f94e,66fcc004b66eda9ecd1207d3,false,false,Wed Oct 02 2024 03:37:40 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:07:22 GMT+0000 (Coordinated Universal Time),Mon Nov 25 2024 17:07:26 GMT+0000 (Coordinated Universal Time),Electrode Quality Wire,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcc01a6c967857d20c6e3e_Electrode-Quality-Wires.png,https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/67413f68be3852ef1cb5f48a_e1459651-8411-42f2-91c3-fae96d651535.jpeg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/67413f682c9035771385b806_3a7160dc-312c-41fc-a3e5-52948c7f3bfc.jpeg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/67413f8c99bc65bc955b3027_9335f130-f754-47e0-aa6e-f797f2716c27.jpeg; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744aebce6c3e06533b24ce6_0d226c43-8514-47bf-a2ef-e3961fd26c48.JPG; https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/6744aebcb40ed5ec055fa6d9_2ca33a76-8a54-4765-93d1-ab80621ca0cd.JPG,"<p id="""">Devasya manufactures high quality stainless steel wire for welding electrodes as well as Tig wires.</p><p id="""">We offer various types of wires for welding consumables ( Electrodes, Tig Wires), in compliance with international quality standards. Our range of wires have shiny surface and controlled mechanical properties. These wires offer excellent resistance to cracking, scaling and corrosion at high temperatures. Available in various specifications, we also customize these wires as per clients specifications.</p><p id="""">The stainless steel wires for welding electrodes and Tig wires are supplied in coil as well as in cut length as per AWS, DIN, BS, JIS and other equivalent international standards or as per the customer's requirement.</p><p id="""">The grades and Technical details are below.</p><figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:3552px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""3552px""><div><img src=""https://cdn.prod.website-files.com/66e96fb3c0b39dd4cfc6f95c/66fcc004b66eda9ecd120791_66fcbff284d8f6dc7b509c22_Group%25201171276001.png"" loading=""lazy"" alt=""__wf_reserved_inherit""></div></figure><h4 id="""">Specification</h4><ul id=""""><li id="""">Good weldability</li><li id="""">Stainless Steel Electrode Quality wires have superior corrosion resistance</li></ul><p id=""""> </p><p id=""""><a href=""https://devasyaindustries.com/pdf/ChemicalComposition.pdf"" target=""_blank"" id="""">Click Here to View Chemical Composition</a></p><p>‍</p>",8
